6. ЖИЛЫЕ ПОМЕЩЕНИЯ2) ПО ИХ ТИПАМ И ЧИСЛУ ПРОЖИВАЮЩИХ В НИХ ЧАСТНЫХ ДОМОХОЗЯЙСТВ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
	Всего жилых помещений	в них проживает								
		одно домохозяйство	в том числе состоящее из					два домохозяйства	три домохозяйства	четыре домохозяйства и более
			1 человека 	2 человек	3 человек	4 человек	5 и более человек			
Российская Федерация										
Городские и сельские населенные пункты										
коммунальные квартиры	2536.0	830.0	193.0	245.0	223.0	117.0	52.0	1299.0	354.0	53.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	124673.0	124276.0	38683.0	37996.0	23039.0	16177.0	8381.0	354.0	37.0	6.0
в том числе:										
индивидуальные дома	77906.0	77854.0	27917.0	25370.0	11746.0	8121.0	4700.0	47.0	4.0	1.0
отдельные квартиры	46490.0	46319.0	10729.0	12606.0	11268.0	8046.0	3670.0	159.0	11.0	1.0
коммунальные квартиры	277.0	103.0	37.0	20.0	25.0	10.0	11.0	148.0	22.0	4.0
Тамбовская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	435719.0	431924.0	103890.0	126861.0	102231.0	66694.0	32248.0	3107.0	493.0	195.0
в том числе:										
индивидуальные дома	208466.0	208230.0	58134.0	63350.0	40648.0	29423.0	16675.0	217.0	18.0	1.0
отдельные квартиры	224986.0	223116.0	45614.0	63353.0	61435.0	37200.0	15514.0	1675.0	171.0	24.0
коммунальные квартиры	2267.0	578.0	142.0	158.0	148.0	71.0	59.0	1215.0	304.0	170.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	238235.0	234994.0	49846.0	67844.0	62588.0	37647.0	17069.0	2615.0	441.0	185.0
в том числе:										
индивидуальные дома	62723.0	62619.0	13795.0	17631.0	14678.0	10613.0	5902.0	98.0	5.0	1.0
отдельные квартиры	173512.0	171900.0	35932.0	50081.0	47785.0	26977.0	11125.0	1436.0	155.0	21.0
коммунальные квартиры	2000.0	475.0	119.0	132.0	125.0	57.0	42.0	1081.0	281.0	163.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	197484.0	196930.0	54044.0	59017.0	39643.0	29047.0	15179.0	492.0	52.0	10.0
в том числе:										
индивидуальные дома	145743.0	145611.0	44339.0	45719.0	25970.0	18810.0	10773.0	119.0	13.0	-
отдельные квартиры	51474.0	51216.0	9682.0	13272.0	13650.0	10223.0	4389.0	239.0	16.0	3.0
коммунальные квартиры	267.0	103.0	23.0	26.0	23.0	14.0	17.0	134.0	23.0	7.0
Тверская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	564511.0	557504.0	148348.0	169893.0	127217.0	77806.0	34240.0	5961.0	865.0	181.0
в том числе:										
индивидуальные дома	174860.0	174623.0	61086.0	56448.0	27885.0	18604.0	10600.0	213.0	16.0	8.0
отдельные квартиры	382470.0	380300.0	86507.0	112773.0	98749.0	58813.0	23458.0	1998.0	157.0	15.0
