4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
рыболовство, рыбоводство	300.0	8.0	8.0	32.0	51.0	33.0	50.0	65.0	37.0	4.0	12.0	288.0	40.8
добыча полезных ископаемых	8041.0	23.0	667.0	1026.0	837.0	997.0	1597.0	1526.0	1126.0	184.0	58.0	7962.0	40.0
обрабатывающие производства	91000.0	1338.0	8844.0	10087.0	9174.0	11130.0	16224.0	15970.0	12833.0	3911.0	1489.0	88130.0	40.2
производство и распределение электроэнергии, газа и воды	18617.0	64.0	1261.0	1944.0	2084.0	2464.0	3649.0	3477.0	2611.0	780.0	283.0	18190.0	41.0
строительство	30176.0	510.0	3214.0	3533.0	3096.0	3908.0	5564.0	5189.0	3735.0	1029.0	398.0	29639.0	39.4
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	59504.0	1877.0	7991.0	9258.0	8852.0	8917.0	9181.0	7346.0	4630.0	1046.0	406.0	58573.0	36.3
гостиницы и рестораны	6375.0	288.0	863.0	838.0	763.0	791.0	994.0	950.0	688.0	157.0	43.0	6180.0	37.2
транспорт и связь	38211.0	341.0	2792.0	4301.0	4756.0	5465.0	7559.0	6792.0	4506.0	1281.0	418.0	37563.0	40.0
финансовая деятельность	5148.0	36.0	409.0	833.0	653.0	778.0	863.0	866.0	545.0	145.0	20.0	5036.0	38.7
операции с недвижимым имуществом, аренда и предоставление услуг	11270.0	174.0	1292.0	1490.0	1253.0	1442.0	1968.0	1753.0	1265.0	430.0	203.0	10930.0	38.9
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	33523.0	261.0	3952.0	5545.0	5183.0	5171.0	5170.0	3872.0	2985.0	952.0	432.0	32632.0	37.3
образование	45790.0	533.0	4177.0	5785.0	6246.0	5993.0	7414.0	6374.0	5362.0	2467.0	1439.0	42622.0	39.8
здравоохранение и предоставление социальных услуг	34300.0	408.0	3146.0	4795.0	4842.0	4690.0	5328.0	4835.0	4096.0	1241.0	919.0	32442.0	39.2
предоставление прочих коммунальных, социальных и персональных услуг	19750.0	341.0	1528.0	2168.0	2316.0	2743.0	3715.0	3231.0	2501.0	738.0	469.0	18959.0	40.1
предоставление услуг по ведению домашнего хозяйства	77.0	-	8.0	12.0	4.0	12.0	12.0	17.0	12.0	-	-	77.0	39.4
деятельность экстерриториальных организаций	8.0	-	-	4.0	-	-	-	-	-	4.0	-	4.0	42.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	3285.0	67.0	308.0	414.0	402.0	395.0	568.0	541.0	413.0	122.0	55.0	3163.0	39.4
Липецкая область													
Все население в возрасте 15-64 лет, занятое в экономике	489163.0	7395.0	46460.0	60351.0	60647.0	66779.0	84467.0	75575.0	59157.0	19104.0	9228.0	471881.0	39.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	58583.0	1057.0	4335.0	5460.0	6841.0	8563.0	11642.0	10094.0	7380.0	2485.0	726.0	57349.0	40.3
рыболовство, рыбоводство	167.0	5.0	8.0	21.0	21.0	38.0	25.0	21.0	20.0	-	8.0	159.0	39.3
добыча полезных ископаемых	3332.0	47.0	237.0	360.0	327.0	409.0	650.0	612.0	462.0	143.0	85.0	3196.0	41.0
обрабатывающие производства	121423.0	1359.0	11655.0	14965.0	13505.0	15331.0	21200.0	20319.0	16139.0	4822.0	2128.0	117822.0	39.8
производство и распределение электроэнергии, газа и воды	9796.0	45.0	548.0	1061.0	976.0	1351.0	1873.0	1814.0	1536.0	461.0	131.0	9568.0	41.4
строительство	28579.0	546.0	2591.0	3085.0	2853.0	3598.0	4986.0	5022.0	4100.0	1191.0	607.0	27754.0	40.3
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	56951.0	1796.0	7581.0	8641.0	8013.0	8244.0	9019.0	7106.0	4871.0	1116.0	564.0	55743.0	36.6
гостиницы и рестораны	8275.0	386.0	1140.0	902.0	823.0	1129.0	1316.0	1384.0	850.0	257.0	88.0	7972.0	37.8
транспорт и связь	39862.0	362.0	3012.0	4447.0	4898.0	5691.0	7386.0	6670.0	4963.0	1637.0	796.0	38738.0	40.2
финансовая деятельность	4937.0	48.0	408.0	764.0	651.0	801.0	862.0	707.0	545.0	84.0	67.0	4815.0	38.5
операции с недвижимым имуществом, аренда и предоставление услуг	24947.0	280.0	2246.0	2732.0	2694.0	3089.0	4365.0	3971.0	3637.0	1230.0	703.0	23731.0	40.6
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	26601.0	339.0	3159.0	4160.0	4296.0	4013.0	4197.0	3028.0	2179.0	804.0	426.0	25752.0	37.3
образование	43793.0	359.0	3779.0	6107.0	6319.0	5938.0	6754.0	5914.0	5076.0	2289.0	1258.0	40798.0	39.5
здравоохранение и предоставление социальных услуг	37681.0	310.0	3411.0	4900.0	5425.0	5528.0	6093.0	5164.0	4320.0	1526.0	1004.0	35463.0	39.3
предоставление прочих коммунальных, социальных и персональных услуг	13294.0	296.0	1296.0	1381.0	1504.0	1782.0	2302.0	2131.0	1681.0	588.0	333.0	12637.0	39.9
предоставление услуг по ведению домашнего хозяйства	45.0	4.0	-	9.0	-	8.0	4.0	4.0	16.0	-	-	45.0	40.4
деятельность экстерриториальных организаций	4.0	-	4.0	-	-	-	-	-	-	-	-	4.0	22.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	10893.0	156.0	1050.0	1356.0	1501.0	1266.0	1793.0	1614.0	1382.0	471.0	304.0	10335.0	39.6
Московская область													
Все население в возрасте 15-64 лет, занятое в экономике	3061673.0	69347.0	301206.0	364824.0	357022.0	384565.0	480628.0	449180.0	369548.0	161261.0	124092.0	2860836.0	39.9
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	89695.0	2179.0	5389.0	6908.0	7549.0	10495.0	16225.0	16575.0	14511.0	5650.0	4214.0	83379.0	42.5
рыболовство, рыбоводство	1032.0	27.0	74.0	117.0	112.0	134.0	195.0	197.0	110.0	38.0	28.0	995.0	40.1
добыча полезных ископаемых	10413.0	172.0	725.0	1032.0	993.0	1171.0	1567.0	1810.0	1565.0	781.0	597.0	9588.0	42.3
обрабатывающие производства	620889.0	14978.0	58627.0	64545.0	60089.0	70621.0	97458.0	99519.0	87445.0	38799.0	28808.0	576264.0	41.0
производство и распределение электроэнергии, газа и воды	49955.0	384.0	2561.0	3639.0	4387.0	5776.0	8363.0	9030.0	8708.0	3993.0	3114.0	45293.0	43.8
строительство	216683.0	3594.0	18548.0	23896.0	23880.0	27616.0	37715.0	35233.0	27818.0	11672.0	6711.0	207575.0	40.5
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	403841.0	14635.0	53623.0	66161.0	60018.0	57578.0	60318.0	46282.0	30825.0	9247.0	5154.0	393307.0	36.2
гостиницы и рестораны	72566.0	4628.0	10497.0	8896.0	8130.0	8390.0	10662.0	9351.0	7709.0	2646.0	1657.0	68834.0	37.2
транспорт и связь	319682.0	4503.0	28210.0	37094.0	41153.0	42854.0	54827.0	49701.0	37237.0	15144.0	8959.0	306220.0	39.9
финансовая деятельность	53745.0	1001.0	7219.0	9563.0	8190.0	7056.0	7482.0	6387.0	4585.0	1525.0	737.0	52041.0	36.6
операции с недвижимым имуществом, аренда и предоставление услуг	233296.0	3813.0	24156.0	28154.0	24456.0	26115.0	32661.0	33310.0	30654.0	15600.0	14377.0	212264.0	40.9
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	220348.0	5133.0	28044.0	32448.0	31119.0	32864.0	34718.0	25542.0	16993.0	7969.0	5518.0	210906.0	37.4
образование	182027.0	3230.0	13709.0	18923.0	21221.0	22732.0	28287.0	27146.0	23331.0	12555.0	10893.0	161142.0	41.5
здравоохранение и предоставление социальных услуг	213573.0	2678.0	16403.0	22643.0	24798.0	26240.0	32474.0	32554.0	29040.0	13048.0	13695.0	189679.0	41.6
предоставление прочих коммунальных, социальных и персональных услуг	190845.0	4272.0	15022.0	18497.0	19513.0	22397.0	30068.0	30081.0	27115.0	12511.0	11369.0	173173.0	41.7
предоставление услуг по ведению домашнего хозяйства	1524.0	21.0	135.0	138.0	180.0	211.0	233.0	262.0	177.0	104.0	63.0	1385.0	41.0
деятельность экстерриториальных организаций	1195.0	29.0	148.0	163.0	173.0	124.0	118.0	170.0	144.0	70.0	56.0	1114.0	39.1
не распределенные по видам деятельности и неточно указавшие вид деятельности	180364.0	4070.0	18116.0	22007.0	21061.0	22191.0	27257.0	26030.0	21581.0	9909.0	8142.0	167677.0	40.0
Орловская область													
Все население в возрасте 15-64 лет, занятое в экономике	343744.0	4913.0	32121.0	42600.0	42304.0	45982.0	57937.0	55264.0	43044.0	13281.0	6298.0	331800.0	39.5
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	52536.0	1034.0	3722.0	5074.0	6214.0	7934.0	10507.0	9088.0	6656.0	1827.0	480.0	51684.0	40.0
рыболовство, рыбоводство	138.0	-	4.0	12.0	20.0	12.0	16.0	42.0	20.0	8.0	4.0	134.0	43.2
добыча полезных ископаемых	189.0	-	8.0	8.0	4.0	34.0	25.0	65.0	29.0	16.0	-	185.0	44.4
обрабатывающие производства	70696.0	844.0	6209.0	7854.0	7157.0	8008.0	12094.0	12627.0	10756.0	3496.0	1651.0	67848.0	40.8
производство и распределение электроэнергии, газа и воды	6770.0	28.0	397.0	644.0	651.0	782.0	1279.0	1230.0	1183.0	379.0	197.0	6473.0	42.3
строительство	22408.0	303.0	2197.0	2572.0	2351.0	2741.0	3763.0	4028.0	3183.0	952.0	318.0	21911.0	40.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	41812.0	1128.0	5514.0	6849.0	6278.0	5937.0	6165.0	5368.0	3376.0	833.0	364.0	40985.0	36.4
гостиницы и рестораны	6245.0	246.0	797.0	767.0	699.0	831.0	909.0	1081.0	685.0	141.0	89.0	6027.0	37.9
транспорт и связь	27761.0	183.0	2188.0	2989.0	3229.0	4087.0	5021.0	5057.0	3743.0	920.0	344.0	27171.0	40.2
финансовая деятельность	4323.0	12.0	246.0	794.0	752.0	636.0	722.0	597.0	445.0	95.0	24.0	4228.0	38.2
операции с недвижимым имуществом, аренда и предоставление услуг	9853.0	89.0	1035.0	1186.0	1204.0	1216.0	1586.0	1623.0	1206.0	469.0	239.0	9408.0	39.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	22225.0	141.0	2864.0	3864.0	3505.0	3163.0	3237.0	2591.0	2064.0	534.0	262.0	21684.0	37.0
образование	34981.0	382.0	3108.0	4833.0	4852.0	4781.0	5361.0	5055.0	3845.0	1669.0	1095.0	32611.0	39.5
здравоохранение и предоставление социальных услуг	23706.0	173.0	2118.0	2963.0	3112.0	3208.0	3845.0	3450.0	3224.0	877.0	736.0	22284.0	39.9
предоставление прочих коммунальных, социальных и персональных услуг	14727.0	269.0	1168.0	1555.0	1624.0	1854.0	2474.0	2497.0	2008.0	892.0	386.0	13964.0	40.8
предоставление услуг по ведению домашнего хозяйства	68.0	-	12.0	12.0	8.0	12.0	4.0	4.0	16.0	-	-	68.0	36.9
деятельность экстерриториальных организаций	12.0	-	-	8.0	-	-	-	-	-	-	4.0	8.0	39.2
не распределенные по видам деятельности и неточно указавшие вид деятельности	5294.0	81.0	534.0	616.0	644.0	746.0	929.0	861.0	605.0	173.0	105.0	5127.0	39.3
Рязанская область													
Все население в возрасте 15-64 лет, занятое в экономике	486985.0	9104.0	48003.0	59490.0	60781.0	63363.0	79804.0	74201.0	60519.0	21109.0	10611.0	467077.0	39.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	47976.0	1230.0	3209.0	4250.0	5478.0	6752.0	8978.0	8753.0	6613.0	2042.0	671.0	46802.0	40.6
рыболовство, рыбоводство	412.0	-	67.0	29.0	49.0	74.0	50.0	61.0	53.0	29.0	-	408.0	39.2
добыча полезных ископаемых	2030.0	26.0	219.0	211.0	251.0	207.0	317.0	387.0	259.0	102.0	51.0	1971.0	40.2
обрабатывающие производства	114328.0	2171.0	11384.0	13191.0	12174.0	13301.0	18436.0	18638.0	16640.0	5654.0	2739.0	109558.0	40.1
производство и распределение электроэнергии, газа и воды	17000.0	91.0	1108.0	1964.0	2079.0	1961.0	2789.0	2807.0	2797.0	982.0	422.0	16338.0	41.4
строительство	33516.0	683.0	3589.0	3898.0	3453.0	4184.0	5819.0	5520.0	4278.0	1470.0	622.0	32615.0	39.6
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	63493.0	2019.0	8717.0	9674.0	9496.0	9183.0	9899.0	7455.0	5254.0	1278.0	518.0	62173.0	36.3
гостиницы и рестораны	9682.0	470.0	1416.0	1181.0	1135.0	1118.0	1447.0	1542.0	994.0	257.0	122.0	9350.0	37.3
транспорт и связь	42477.0	453.0	3396.0	4842.0	5726.0	5841.0	7617.0	7181.0	5172.0	1607.0	642.0	41378.0	39.8
финансовая деятельность	5917.0	39.0	535.0	819.0	957.0	856.0	930.0	878.0	673.0	190.0	40.0	5744.0	38.6
операции с недвижимым имуществом, аренда и предоставление услуг	24142.0	302.0	2574.0	2819.0	2753.0	2762.0	3762.0	3900.0	3247.0	1272.0	751.0	23018.0	40.2
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	31357.0	338.0	3908.0	4965.0	5024.0	4393.0	5088.0	3595.0	2694.0	904.0	448.0	30440.0	37.2
образование	41891.0	572.0	3139.0	4803.0	5453.0	5744.0	6443.0	5989.0	5396.0	2631.0	1721.0	38322.0	40.7
здравоохранение и предоставление социальных услуг	35521.0	232.0	2919.0	4717.0	4699.0	4711.0	5556.0	5020.0	4493.0	1862.0	1312.0	32727.0	40.2
предоставление прочих коммунальных, социальных и персональных услуг	14007.0	396.0	1488.0	1715.0	1715.0	1835.0	2157.0	1940.0	1617.0	705.0	439.0	13175.0	39.2
предоставление услуг по ведению домашнего хозяйства	117.0	4.0	8.0	8.0	4.0	12.0	28.0	29.0	16.0	4.0	4.0	109.0	42.2
