4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике	461716.0	10511.0	46858.0	53983.0	53330.0	59571.0	75838.0	69807.0	56625.0	21257.0	13936.0	438063.0	39.6
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	31445.0	852.0	2221.0	2760.0	3251.0	4423.0	5969.0	5600.0	4427.0	1430.0	512.0	30539.0	40.7
рыболовство, рыбоводство	112.0	-	13.0	14.0	21.0	4.0	20.0	16.0	16.0	4.0	4.0	108.0	39.6
добыча полезных ископаемых	2087.0	34.0	175.0	151.0	198.0	233.0	396.0	413.0	329.0	93.0	65.0	2002.0	41.7
обрабатывающие производства	120342.0	3031.0	12759.0	12941.0	11298.0	13929.0	19289.0	19662.0	17202.0	6361.0	3870.0	114072.0	40.3
производство и распределение электроэнергии, газа и воды	10481.0	52.0	538.0	901.0	941.0	1424.0	1783.0	2065.0	1640.0	720.0	417.0	9859.0	42.9
строительство	35131.0	790.0	3655.0	3850.0	3677.0	4412.0	6306.0	5882.0	4350.0	1446.0	763.0	34056.0	39.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	62326.0	2481.0	8809.0	9274.0	8913.0	9070.0	9689.0	7311.0	4670.0	1429.0	680.0	60773.0	36.2
гостиницы и рестораны	7932.0	487.0	1217.0	968.0	969.0	935.0	1195.0	962.0	816.0	252.0	131.0	7584.0	36.7
транспорт и связь	36354.0	432.0	3082.0	4508.0	4711.0	5059.0	6339.0	5746.0	4344.0	1464.0	669.0	35226.0	39.6
финансовая деятельность	5590.0	86.0	567.0	899.0	751.0	685.0	934.0	792.0	703.0	110.0	63.0	5459.0	38.2
операции с недвижимым имуществом, аренда и предоставление услуг	30824.0	451.0	2599.0	2865.0	2883.0	3346.0	4826.0	4893.0	4435.0	2355.0	2171.0	27724.0	42.4
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	33622.0	453.0	4006.0	5050.0	5213.0	5000.0	5649.0	3968.0	2731.0	989.0	563.0	32604.0	37.4
образование	35399.0	420.0	2802.0	3927.0	4352.0	4659.0	5689.0	5210.0	4463.0	2102.0	1775.0	32027.0	41.0
здравоохранение и предоставление социальных услуг	28326.0	234.0	2413.0	3342.0	3449.0	3670.0	4331.0	4165.0	3580.0	1652.0	1490.0	25496.0	40.9
предоставление прочих коммунальных, социальных и персональных услуг	12484.0	422.0	1060.0	1384.0	1585.0	1623.0	2012.0	1815.0	1630.0	481.0	472.0	11734.0	39.7
предоставление услуг по ведению домашнего хозяйства	150.0	9.0	12.0	16.0	12.0	20.0	33.0	24.0	20.0	-	4.0	146.0	39.0
деятельность экстерриториальных организаций	4.0	-	-	-	4.0	-	-	-	-	-	-	4.0	32.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	9107.0	277.0	930.0	1133.0	1102.0	1079.0	1378.0	1283.0	1269.0	369.0	287.0	8650.0	39.4
Костромская область													
Все население в возрасте 15-64 лет, занятое в экономике	312787.0	7254.0	33402.0	38092.0	36626.0	40644.0	53688.0	47528.0	37271.0	12013.0	6269.0	301293.0	39.1
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	37280.0	974.0	2754.0	3330.0	3796.0	5174.0	7709.0	6861.0	5007.0	1303.0	372.0	36621.0	40.3
рыболовство, рыбоводство	128.0	-	4.0	36.0	16.0	12.0	12.0	16.0	24.0	4.0	4.0	124.0	39.5
добыча полезных ископаемых	980.0	20.0	69.0	188.0	93.0	101.0	149.0	178.0	139.0	20.0	23.0	957.0	39.3
обрабатывающие производства	67103.0	1962.0	8566.0	8774.0	6999.0	7681.0	10978.0	10118.0	8276.0	2480.0	1269.0	64926.0	38.6
производство и распределение электроэнергии, газа и воды	11012.0	71.0	670.0	1091.0	1404.0	1415.0	1871.0	1907.0	1638.0	664.0	281.0	10567.0	41.5
строительство	19532.0	472.0	2221.0	2334.0	1741.0	2362.0	3520.0	3039.0	2610.0	914.0	319.0	19082.0	39.5
