4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	11660.0	229.0	601.0	1178.0	1336.0	1844.0	2396.0	2204.0	1506.0	296.0	70.0	11428.0	40.3
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	84306.0	1392.0	8452.0	9980.0	9276.0	10299.0	14767.0	14377.0	10975.0	3491.0	1297.0	82471.0	39.7
операторы, аппаратчики, машинисты установок и машин	80998.0	734.0	7037.0	9703.0	10248.0	11715.0	15505.0	13010.0	9040.0	2976.0	1030.0	79637.0	39.5
неквалифицированные рабочие	43284.0	931.0	3507.0	4447.0	4598.0	5741.0	7542.0	7079.0	5965.0	2109.0	1365.0	40804.0	40.6
занятые на военной службе	1521.0	8.0	121.0	227.0	289.0	332.0	374.0	104.0	25.0	33.0	8.0	1501.0	36.5
лица, неточно указавшие или не указавшие  занятия 	18985.0	353.0	1944.0	2178.0	2311.0	2584.0	3580.0	2898.0	2151.0	623.0	363.0	18365.0	39.1
Московская область													
Все население в возрасте 15-64 лет, занятое в экономике 	3061673.0	69347.0	301206.0	364824.0	357022.0	384565.0	480628.0	449180.0	369548.0	161261.0	124092.0	2860836.0	39.9
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	370120.0	2123.0	21450.0	37897.0	42040.0	49153.0	63055.0	60905.0	52384.0	24369.0	16744.0	344286.0	42.0
специалисты высшего уровня квалификации	495618.0	4287.0	43216.0	58060.0	54056.0	61296.0	76459.0	74806.0	64517.0	32723.0	26198.0	449350.0	41.2
специалисты среднего уровня квалификации	385448.0	8330.0	42773.0	49139.0	48996.0	48519.0	58056.0	53672.0	44755.0	18266.0	12942.0	361047.0	39.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	78686.0	4346.0	11494.0	9750.0	9045.0	8684.0	10851.0	10511.0	8340.0	3269.0	2396.0	73408.0	37.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	426087.0	18515.0	60888.0	67472.0	59650.0	54950.0	58508.0	47990.0	36137.0	12398.0	9579.0	408879.0	36.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	21575.0	473.0	1084.0	1817.0	2221.0	2719.0	4145.0	3942.0	3278.0	1187.0	709.0	20107.0	41.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	442074.0	12019.0	42576.0	47248.0	44197.0	50740.0	69223.0	70228.0	60755.0	26558.0	18530.0	418332.0	40.6
