7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образования	Не указавшие уровень образования
производство и распределение электроэнергии, газа и воды	11957.0	2537.0	201.0	4735.0	1995.0	2003.0	431.0	55.0	-	-
строительство	34156.0	5596.0	644.0	11009.0	7591.0	6511.0	2481.0	314.0	-	10.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	74762.0	15399.0	2311.0	31150.0	10859.0	12062.0	2682.0	248.0	40.0	11.0
гостиницы и рестораны	11297.0	970.0	156.0	4830.0	2591.0	2136.0	520.0	68.0	-	26.0
транспорт и связь	45848.0	5718.0	807.0	18035.0	9339.0	9173.0	2543.0	221.0	6.0	6.0
финансовая деятельность	7415.0	3218.0	228.0	2844.0	460.0	556.0	97.0	12.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	16974.0	6042.0	595.0	5117.0	2121.0	2355.0	661.0	79.0	-	4.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	33821.0	13007.0	1238.0	11674.0	3218.0	4161.0	473.0	50.0	-	-
образование	53354.0	26791.0	1416.0	15402.0	3809.0	4541.0	1255.0	140.0	-	-
здравоохранение и предоставление социальных услуг	43661.0	9254.0	605.0	22563.0	4940.0	4597.0	1529.0	165.0	8.0	-
предоставление прочих коммунальных, социальных и персональных услуг	24191.0	4768.0	677.0	9150.0	3786.0	4475.0	1189.0	143.0	3.0	-
предоставление услуг по ведению домашнего хозяйства	81.0	20.0	4.0	29.0	8.0	12.0	8.0	-	-	-
деятельность экстерриториальных организаций	20.0	8.0	-	12.0	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1287.0	318.0	33.0	434.0	216.0	196.0	50.0	20.0	8.0	12.0
Пермская область										
Все население, занятое в экономике	1213888.0	213001.0	28398.0	445128.0	249562.0	179165.0	85780.0	11658.0	403.0	793.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	94941.0	4933.0	638.0	21086.0	31486.0	16234.0	16967.0	3443.0	139.0	15.0
рыболовство, рыбоводство	288.0	45.0	-	94.0	62.0	35.0	52.0	-	-	-
добыча полезных ископаемых	24249.0	4239.0	533.0	8971.0	5468.0	3733.0	1204.0	101.0	-	-
обрабатывающие производства	294307.0	42944.0	5654.0	110386.0	65899.0	47329.0	19722.0	2229.0	37.0	107.0
производство и распределение электроэнергии, газа и воды	30821.0	4881.0	663.0	12607.0	6460.0	4512.0	1485.0	202.0	-	11.0
строительство	81138.0	10542.0	1760.0	28356.0	20311.0	12537.0	6821.0	780.0	21.0	10.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	146607.0	19777.0	4332.0	57700.0	29236.0	24719.0	9434.0	966.0	87.0	356.0
гостиницы и рестораны	28397.0	1253.0	441.0	11116.0	7863.0	4927.0	2561.0	220.0	4.0	12.0
транспорт и связь	104135.0	10396.0	2123.0	39869.0	24683.0	18600.0	7519.0	912.0	8.0	25.0
финансовая деятельность	14314.0	6071.0	571.0	5130.0	1177.0	1182.0	161.0	22.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	45577.0	12093.0	1632.0	14877.0	7821.0	6190.0	2469.0	469.0	12.0	14.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	68387.0	20784.0	2664.0	25524.0	8264.0	9128.0	1833.0	187.0	1.0	2.0
образование	119014.0	42993.0	3885.0	41126.0	14483.0	10614.0	5323.0	550.0	18.0	22.0
здравоохранение и предоставление социальных услуг	90637.0	20977.0	1495.0	42550.0	12443.0	7797.0	4751.0	590.0	23.0	11.0
предоставление прочих коммунальных, социальных и персональных услуг	56714.0	8414.0	1636.0	20577.0	11604.0	9186.0	4516.0	721.0	49.0	11.0
предоставление услуг по ведению домашнего хозяйства	333.0	56.0	5.0	102.0	53.0	102.0	14.0	1.0	-	-
деятельность экстерриториальных организаций	47.0	12.0	4.0	19.0	-	12.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	13982.0	2591.0	362.0	5038.0	2249.0	2328.0	948.0	265.0	4.0	197.0
Коми–Пермяцкий автономный округ										
Все население, занятое в экономике	45469.0	4973.0	574.0	17947.0	12269.0	4819.0	4268.0	609.0	9.0	1.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	12106.0	357.0	66.0	2861.0	4868.0	1552.0	2077.0	319.0	6.0	-
рыболовство, рыбоводство	15.0	1.0	-	3.0	2.0	7.0	2.0	-	-	-
добыча полезных ископаемых	18.0	1.0	-	5.0	8.0	2.0	2.0	-	-	-
обрабатывающие производства	2245.0	120.0	27.0	850.0	674.0	371.0	178.0	25.0	-	-
производство и распределение электроэнергии, газа и воды	885.0	80.0	6.0	432.0	214.0	103.0	43.0	6.0	-	1.0
строительство	2081.0	118.0	26.0	761.0	712.0	225.0	206.0	33.0	-	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4835.0	275.0	64.0	2263.0	1317.0	522.0	359.0	35.0	-	-
гостиницы и рестораны	573.0	15.0	-	258.0	204.0	40.0	48.0	8.0	-	-
транспорт и связь	2383.0	106.0	21.0	1022.0	673.0	346.0	191.0	24.0	-	-
финансовая деятельность	502.0	122.0	15.0	263.0	59.0	39.0	2.0	2.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	493.0	136.0	12.0	237.0	46.0	50.0	12.0	-	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	4404.0	1149.0	134.0	1739.0	729.0	418.0	202.0	32.0	1.0	-
образование	7798.0	1802.0	139.0	3426.0	1363.0	534.0	487.0	46.0	1.0	-
здравоохранение и предоставление социальных услуг	5071.0	469.0	38.0	2974.0	886.0	370.0	280.0	53.0	1.0	-
предоставление прочих коммунальных, социальных и персональных услуг	1960.0	210.0	25.0	818.0	486.0	228.0	170.0	23.0	-	-
предоставление услуг по ведению домашнего хозяйства	6.0	-	1.0	1.0	1.0	-	2.0	1.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	94.0	12.0	-	34.0	27.0	12.0	7.0	2.0	-	-
Самарская  область										
Все население, занятое в экономике	1456616.0	347266.0	47121.0	556770.0	201145.0	223324.0	68575.0	11021.0	605.0	789.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	74843.0	6115.0	855.0	21472.0	19473.0	13614.0	10481.0	2669.0	137.0	27.0
рыболовство, рыбоводство	714.0	62.0	12.0	290.0	162.0	108.0	72.0	8.0	-	-
добыча полезных ископаемых	25136.0	5917.0	646.0	9894.0	3859.0	3678.0	1005.0	128.0	-	9.0
обрабатывающие производства	404000.0	79194.0	10944.0	161282.0	58958.0	72530.0	18557.0	2421.0	20.0	94.0
производство и распределение электроэнергии, газа и воды	31116.0	7257.0	747.0	12650.0	4643.0	4454.0	1132.0	207.0	11.0	15.0
строительство	101378.0	20083.0	2879.0	36948.0	17867.0	16447.0	6214.0	891.0	26.0	23.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	193520.0	40459.0	8034.0	78593.0	24507.0	32067.0	8204.0	1340.0	291.0	25.0
гостиницы и рестораны	32290.0	3078.0	943.0	14074.0	6328.0	5824.0	1846.0	178.0	13.0	6.0
транспорт и связь	139053.0	22617.0	3830.0	56050.0	23450.0	24850.0	7184.0	975.0	18.0	79.0
финансовая деятельность	19425.0	10415.0	1171.0	5424.0	810.0	1418.0	166.0	21.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	76869.0	23836.0	3264.0	25325.0	9570.0	10943.0	3390.0	508.0	11.0	22.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	74442.0	29847.0	3704.0	25606.0	5779.0	8037.0	1254.0	200.0	6.0	9.0
образование	108379.0	53572.0	4656.0	32490.0	6856.0	8175.0	2262.0	321.0	16.0	31.0
здравоохранение и предоставление социальных услуг	95393.0	25781.0	2336.0	47506.0	8664.0	8056.0	2608.0	425.0	5.0	12.0
