3.6. СТРУКТУРА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ДОМОХОЗЯЙСТВ БЕЗДОМНЫХ И КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ												
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
	На 1000 частных домохозяйств приходится домохозяйств, состоящих из						На 1000 домохозяйств бездомных приходится домохозяйств, состоящих из			Удельный вес (%) населения, проживающего		
	1 человека	2 человек	3 человек	4 человек	5 человек	6 и более человек	1 человека	2 человек	3 и более человек	в частных домо-
хозяйствах	в домо-
хозяйствах бездомных	в коллектив-ных домо-
хозяйствах
Свердловская область	241.0	296.0	242.0	157.0	44.0	20.0	906.0	34.0	60.0	98.0	0.1	1.9
Городские населенные пункты	241.0	296.0	247.0	156.0	42.0	18.0	907.0	33.0	60.0	98.0	0.1	1.9
Сельские населенные пункты	244.0	293.0	201.0	165.0	61.0	36.0	879.0	60.0	61.0	97.4	0.0	2.6
Тюменская область	177.0	246.0	271.0	207.0	64.0	35.0	864.0	45.0	91.0	98.9	0.1	1.0
Городские населенные пункты	172.0	241.0	282.0	211.0	62.0	32.0	875.0	41.0	84.0	98.8	0.1	1.1
Сельские населенные пункты	194.0	263.0	232.0	192.0	72.0	47.0	748.0	94.0	158.0	99.0	0.0	1.0
Ханты-Мансийский автономный округ - Югра	148.0	224.0	291.0	231.0	69.0	37.0	871.0	44.0	85.0	99.2	0.1	0.7
Городские населенные пункты	142.0	223.0	295.0	234.0	69.0	37.0	875.0	42.0	83.0	99.3	0.1	0.6
Сельские населенные пункты	206.0	229.0	250.0	200.0	70.0	45.0	200.0	400.0	400.0	98.4	0.0	1.6
Ямало-Ненецкий автономный округ	163.0	228.0	298.0	211.0	62.0	38.0	812.0	-	188.0	99.2	0.0	0.8
Городские населенные пункты	162.0	231.0	306.0	215.0	59.0	27.0	810.0	-	190.0	99.1	0.0	0.9
Сельские населенные пункты	171.0	212.0	252.0	192.0	78.0	95.0	833.0	-	167.0	99.6	0.0	0.4
Челябинская область	220.0	291.0	243.0	173.0	50.0	23.0	950.0	27.0	23.0	98.3	0.1	1.6
Городские населенные пункты	224.0	293.0	249.0	168.0	46.0	20.0	955.0	25.0	20.0	98.0	0.1	1.9
Сельские населенные пункты	204.0	283.0	212.0	192.0	71.0	38.0	769.0	123.0	108.0	99.5	0.0	0.5
Сибирский федеральный округ	203.0	286.0	251.0	172.0	57.0	31.0	930.0	24.0	46.0	98.1	0.1	1.8
Городские населенные пункты	212.0	286.0	259.0	169.0	50.0	24.0	939.0	20.0	41.0	97.9	0.1	2.0
Сельские населенные пункты	180.0	288.0	229.0	182.0	74.0	47.0	742.0	114.0	144.0	98.8	0.0	1.2
Республика Алтай	190.0	247.0	240.0	193.0	82.0	48.0	706.0	137.0	157.0	98.6	0.0	1.4
Городские населенные пункты	246.0	253.0	250.0	163.0	57.0	31.0	864.0	45.0	91.0	98.2	0.1	1.7
