5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
предоставление прочих коммунальных, социальных и персональных услуг	467983.0	49745.0	9331.0	182131.0	94126.0	88657.0	38011.0	5654.0	128.0	200.0
предоставление услуг по ведению домашнего хозяйства	3545.0	261.0	77.0	990.0	747.0	715.0	607.0	143.0	5.0	-
деятельность экстерриториальных организаций	933.0	211.0	27.0	320.0	165.0	168.0	36.0	6.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	119030.0	18016.0	2902.0	40255.0	21506.0	23167.0	10661.0	1873.0	143.0	507.0
Мужчины, занятые в экономике 	6808291.0	716892.0	91329.0	1729206.0	1833677.0	1458109.0	813800.0	156860.0	6042.0	2376.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	2830701.0	147950.0	20036.0	563208.0	878421.0	641675.0	469413.0	104759.0	4450.0	789.0
рыболовство, рыбоводство	35522.0	1724.0	411.0	9334.0	8297.0	8551.0	5796.0	1349.0	49.0	11.0
добыча полезных ископаемых	140011.0	10836.0	2011.0	45420.0	40440.0	29568.0	10256.0	1424.0	27.0	29.0
обрабатывающие производства	652130.0	56825.0	9479.0	182346.0	176219.0	142620.0	73140.0	11043.0	267.0	191.0
производство и распределение электроэнергии, газа и воды	188085.0	19586.0	2694.0	64402.0	48685.0	36538.0	14044.0	2083.0	19.0	34.0
строительство	518166.0	37201.0	7157.0	144482.0	149868.0	113051.0	57528.0	8467.0	211.0	201.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	343151.0	44271.0	7473.0	100377.0	76620.0	76167.0	32599.0	5054.0	464.0	126.0
гостиницы и рестораны	30853.0	3028.0	608.0	9127.0	7656.0	6529.0	3460.0	421.0	5.0	19.0
транспорт и связь	650571.0	39965.0	8610.0	204735.0	179823.0	155853.0	54506.0	6756.0	139.0	184.0
финансовая деятельность	17492.0	6861.0	605.0	4791.0	2061.0	2765.0	342.0	61.0	-	6.0
операции с недвижимым имуществом, аренда и предоставление услуг	216277.0	27555.0	3669.0	61907.0	54455.0	43722.0	21344.0	3472.0	78.0	75.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	477394.0	140199.0	13627.0	146211.0	72614.0	85121.0	17143.0	2288.0	67.0	124.0
образование	289076.0	112925.0	7722.0	68767.0	43518.0	37737.0	15557.0	2725.0	70.0	55.0
здравоохранение и предоставление социальных услуг	156229.0	39226.0	2233.0	45613.0	31146.0	24599.0	11401.0	1912.0	37.0	62.0
предоставление прочих коммунальных, социальных и персональных услуг	191242.0	18493.0	3433.0	57527.0	48797.0	39306.0	19912.0	3597.0	63.0	114.0
предоставление услуг по ведению домашнего хозяйства	1744.0	107.0	23.0	390.0	447.0	326.0	336.0	110.0	5.0	-
деятельность экстерриториальных организаций	444.0	97.0	8.0	113.0	102.0	96.0	24.0	4.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	69203.0	10043.0	1530.0	20456.0	14508.0	13885.0	6999.0	1335.0	91.0	356.0
Женщины, занятые в экономике 	5855551.0	887045.0	109469.0	2325814.0	986220.0	1016956.0	468365.0	57343.0	2704.0	1635.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	1315155.0	79189.0	10721.0	403959.0	274442.0	302265.0	212788.0	30059.0	1497.0	235.0
рыболовство, рыбоводство	7570.0	577.0	144.0	2749.0	1167.0	1646.0	1073.0	201.0	9.0	4.0
добыча полезных ископаемых	27655.0	3028.0	447.0	11376.0	5477.0	5422.0	1661.0	230.0	2.0	12.0
обрабатывающие производства	442133.0	34780.0	6219.0	159473.0	97351.0	100725.0	39424.0	3853.0	124.0	184.0
производство и распределение электроэнергии, газа и воды	53809.0	5779.0	1024.0	23263.0	9775.0	10369.0	3166.0	389.0	23.0	21.0
строительство	71122.0	8879.0	1290.0	26850.0	15996.0	12016.0	5396.0	617.0	40.0	38.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	692755.0	54716.0	12926.0	315587.0	139989.0	129223.0	36221.0	3507.0	386.0	200.0
