7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие
начального
общего
образова-ния
	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
										
Центральный федеральный округ										
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	426087.0	51874.0	15902.0	173068.0	63100.0	96206.0	22396.0	2245.0	249.0	1047.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	21575.0	1081.0	290.0	6045.0	4458.0	5547.0	3616.0	494.0	24.0	20.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	442074.0	28307.0	10504.0	168126.0	85224.0	109810.0	34585.0	4091.0	318.0	1109.0
операторы, аппаратчики, машинисты установок и машин	387251.0	23411.0	8465.0	145042.0	73936.0	103552.0	28775.0	2998.0	225.0	847.0
неквалифицированные рабочие	238567.0	15650.0	4624.0	79126.0	39856.0	63020.0	30914.0	4684.0	174.0	519.0
занятые на военной службе	57168.0	35891.0	1220.0	14049.0	1853.0	3720.0	235.0	34.0	25.0	141.0
лица, неточно указавшие или не указавшие занятия 	159079.0	45158.0	6350.0	52476.0	15400.0	28156.0	8051.0	1217.0	315.0	1956.0
Орловская область										
Все население, занятое в экономике	343744.0	77232.0	6833.0	122462.0	66771.0	50687.0	17206.0	2210.0	82.0	261.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	39561.0	19461.0	1267.0	13420.0	2508.0	2467.0	349.0	47.0	-	42.0
специалисты высшего уровня квалификации	50203.0	37700.0	1277.0	8891.0	1123.0	1038.0	113.0	-	-	61.0
специалисты среднего уровня квалификации	41809.0	6853.0	1260.0	25704.0	4427.0	3080.0	405.0	52.0	7.0	21.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8083.0	1317.0	297.0	4110.0	1110.0	1078.0	156.0	12.0	-	3.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	41230.0	4268.0	927.0	17355.0	9526.0	7342.0	1610.0	160.0	17.0	25.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7906.0	360.0	55.0	1721.0	2163.0	1872.0	1546.0	185.0	4.0	-
