15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
Белоруссии	47.0	1.0	3.0	12.0	8.0	9.0	2.0	8.0	4.0	-	3.0	32.0	12.0
Грузии	107.0	12.0	13.0	26.0	20.0	23.0	7.0	4.0	2.0	-	19.0	81.0	7.0
Казахстана	136.0	9.0	21.0	35.0	13.0	17.0	15.0	11.0	15.0	-	16.0	91.0	29.0
Киргизии	439.0	66.0	33.0	162.0	121.0	48.0	6.0	2.0	1.0	-	87.0	349.0	3.0
Молдавии	26.0	2.0	1.0	7.0	4.0	3.0	4.0	2.0	3.0	-	3.0	18.0	5.0
Таджикистана	96.0	8.0	10.0	26.0	27.0	21.0	2.0	-	2.0	-	14.0	80.0	2.0
Туркмении	6.0	1.0	1.0	1.0	3.0	-	-	-	-	-	1.0	5.0	-
Узбекистана	219.0	34.0	32.0	57.0	49.0	22.0	16.0	4.0	5.0	-	54.0	156.0	9.0
Украины	363.0	28.0	29.0	85.0	82.0	55.0	21.0	30.0	33.0	-	49.0	250.0	64.0
других стран мира	1030.0	61.0	118.0	221.0	327.0	211.0	55.0	30.0	7.0	-	125.0	864.0	41.0
Афганистана	2.0	-	-	-	2.0	-	-	-	-	-	-	2.0	-
Вьетнама	17.0	-	-	7.0	7.0	3.0	-	-	-	-	-	17.0	-
Германии	11.0	6.0	-	1.0	1.0	2.0	1.0	-	-	-	6.0	5.0	-
Израиля	11.0	-	-	6.0	2.0	2.0	-	1.0	-	-	-	10.0	1.0
Индии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Китая	535.0	7.0	45.0	136.0	193.0	95.0	29.0	23.0	7.0	-	24.0	479.0	32.0
Латвии	8.0	-	3.0	2.0	2.0	1.0	-	-	-	-	3.0	5.0	-
Литвы	4.0	-	-	-	-	1.0	2.0	1.0	-	-	-	3.0	1.0
США	17.0	6.0	4.0	2.0	1.0	3.0	1.0	-	-	-	8.0	9.0	-
Турции	39.0	7.0	2.0	24.0	5.0	1.0	-	-	-	-	9.0	30.0	-
Финляндии	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Эстонии	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0
без гражданства	713.0	64.0	160.0	118.0	167.0	104.0	53.0	25.0	22.0	-	167.0	491.0	55.0
гражданство не указано	909.0	115.0	126.0	136.0	115.0	123.0	85.0	42.0	46.0	121.0	192.0	494.0	102.0
Республика Тыва													
Все население	305510.0	52743.0	70400.0	52638.0	47693.0	37207.0	21650.0	15360.0	7812.0	7.0	97461.0	180099.0	27943.0
в том числе:													
граждане России	304775.0	52655.0	70309.0	52423.0	47500.0	37099.0	21627.0	15353.0	7802.0	7.0	97324.0	179523.0	27921.0
из них имеющие два гражданства	48.0	5.0	5.0	19.0	4.0	8.0	6.0	-	1.0	-	8.0	39.0	1.0
иностранные граждане	620.0	74.0	63.0	205.0	165.0	87.0	14.0	6.0	6.0	-	108.0	495.0	17.0
из них имеющие гражданство:													
стран СНГ	509.0	64.0	56.0	149.0	143.0	74.0	12.0	5.0	6.0	-	96.0	398.0	15.0
Азербайджана	18.0	3.0	4.0	4.0	6.0	1.0	-	-	-	-	4.0	14.0	-
Армении	45.0	8.0	5.0	8.0	11.0	9.0	3.0	1.0	-	-	11.0	33.0	1.0
Белоруссии	3.0	-	-	-	-	1.0	2.0	-	-	-	-	1.0	2.0
Грузии	30.0	6.0	1.0	12.0	2.0	6.0	2.0	1.0	-	-	6.0	22.0	2.0
Казахстана	15.0	1.0	2.0	3.0	3.0	3.0	1.0	1.0	1.0	-	3.0	10.0	2.0
Киргизии	320.0	42.0	39.0	103.0	95.0	36.0	4.0	-	1.0	-	66.0	252.0	2.0
Молдавии	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Таджикистана	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Туркмении	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Узбекистана	51.0	4.0	5.0	10.0	19.0	11.0	-	1.0	1.0	-	6.0	43.0	2.0
Украины	24.0	-	-	7.0	7.0	7.0	-	1.0	2.0	-	-	21.0	3.0
других стран мира	111.0	10.0	7.0	56.0	22.0	13.0	2.0	1.0	-	-	12.0	97.0	2.0
Германии	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Китая	11.0	-	-	2.0	7.0	2.0	-	-	-	-	-	11.0	-
США	6.0	-	-	6.0	-	-	-	-	-	-	-	6.0	-
Турции	39.0	3.0	3.0	33.0	-	-	-	-	-	-	4.0	35.0	-
без гражданства	115.0	14.0	28.0	10.0	28.0	21.0	9.0	1.0	4.0	-	29.0	81.0	5.0
гражданство не указано	-	-	-	-	-	-	-	-	-	-	-	-	-
Республика Хакасия													
Все население	546072.0	56234.0	95596.0	88896.0	70501.0	93456.0	55994.0	45814.0	39554.0	27.0	111622.0	339929.0	94494.0
в том числе:													
граждане России	542910.0	55886.0	95039.0	88227.0	69783.0	92986.0	55819.0	45690.0	39462.0	18.0	110916.0	337726.0	94250.0
из них имеющие два гражданства	173.0	10.0	23.0	30.0	36.0	43.0	15.0	9.0	7.0	-	25.0	131.0	17.0
иностранные граждане	1854.0	215.0	309.0	410.0	445.0	276.0	91.0	64.0	44.0	-	415.0	1313.0	126.0
из них имеющие гражданство:													
стран СНГ	1672.0	210.0	295.0	349.0	399.0	235.0	80.0	60.0	44.0	-	403.0	1148.0	121.0
Азербайджана	385.0	75.0	81.0	66.0	108.0	42.0	9.0	4.0	-	-	142.0	237.0	6.0
Армении	99.0	3.0	18.0	18.0	26.0	25.0	6.0	2.0	1.0	-	15.0	80.0	4.0
Белоруссии	29.0	3.0	2.0	2.0	5.0	7.0	1.0	3.0	6.0	-	5.0	15.0	9.0
Грузии	55.0	7.0	7.0	11.0	9.0	11.0	7.0	-	3.0	-	11.0	38.0	6.0
Казахстана	155.0	15.0	18.0	50.0	24.0	21.0	10.0	8.0	9.0	-	24.0	112.0	19.0
Киргизии	413.0	58.0	70.0	106.0	121.0	42.0	7.0	7.0	2.0	-	99.0	305.0	9.0
Молдавии	49.0	9.0	10.0	7.0	5.0	8.0	8.0	2.0	-	-	16.0	30.0	3.0
Таджикистана	64.0	7.0	10.0	20.0	14.0	11.0	1.0	1.0	-	-	11.0	52.0	1.0
Туркмении	9.0	1.0	3.0	2.0	2.0	1.0	-	-	-	-	4.0	5.0	-
Узбекистана	207.0	26.0	40.0	35.0	46.0	35.0	12.0	10.0	3.0	-	49.0	141.0	17.0
Украины	207.0	6.0	36.0	32.0	39.0	32.0	19.0	23.0	20.0	-	27.0	133.0	47.0
других стран мира	182.0	5.0	14.0	61.0	46.0	41.0	11.0	4.0	-	-	12.0	165.0	5.0
Вьетнама	8.0	1.0	-	3.0	2.0	2.0	-	-	-	-	1.0	7.0	-
Германии	5.0	-	2.0	1.0	-	1.0	1.0	-	-	-	2.0	3.0	-
Китая	122.0	1.0	4.0	45.0	34.0	28.0	8.0	2.0	-	-	3.0	116.0	3.0
Латвии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Литвы	7.0	-	-	1.0	-	4.0	1.0	1.0	-	-	-	6.0	1.0
Сирии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Турции	5.0	-	1.0	4.0	-	-	-	-	-	-	-	5.0	-
без гражданства	1167.0	118.0	231.0	231.0	247.0	166.0	75.0	53.0	46.0	-	268.0	791.0	108.0
гражданство не указано	141.0	15.0	17.0	28.0	26.0	28.0	9.0	7.0	2.0	9.0	23.0	99.0	10.0
Алтайский край													
Все население	2607426.0	238246.0	421104.0	410002.0	330681.0	454327.0	278533.0	247510.0	226936.0	87.0	468980.0	1614545.0	523814.0
в том числе:													
граждане России	2585437.0	235870.0	416943.0	405385.0	326495.0	451103.0	277024.0	246469.0	226100.0	48.0	464301.0	1599366.0	521722.0
из них имеющие два гражданства	835.0	57.0	91.0	205.0	160.0	130.0	75.0	68.0	49.0	-	100.0	606.0	129.0
иностранные граждане	12007.0	1250.0	2114.0	2753.0	2472.0	1665.0	799.0	526.0	427.0	1.0	2249.0	8689.0	1068.0
из них имеющие гражданство:													
стран СНГ	11562.0	1219.0	2070.0	2641.0	2343.0	1588.0	771.0	514.0	415.0	1.0	2202.0	8320.0	1039.0
Азербайджана	1085.0	184.0	166.0	216.0	339.0	136.0	34.0	9.0	1.0	-	308.0	765.0	12.0
Армении	1381.0	192.0	238.0	312.0	258.0	223.0	94.0	40.0	24.0	-	337.0	972.0	72.0
Белоруссии	117.0	5.0	9.0	20.0	23.0	17.0	11.0	19.0	13.0	-	10.0	73.0	34.0
Грузии	228.0	34.0	27.0	47.0	66.0	34.0	11.0	5.0	4.0	-	52.0	164.0	12.0
Казахстана	4728.0	458.0	1100.0	1083.0	682.0	563.0	343.0	256.0	243.0	-	869.0	3305.0	554.0
Киргизии	1026.0	112.0	149.0	247.0	212.0	145.0	75.0	48.0	38.0	-	192.0	740.0	94.0
Молдавии	100.0	11.0	14.0	22.0	27.0	16.0	6.0	-	4.0	-	19.0	77.0	4.0
Таджикистана	799.0	73.0	78.0	234.0	242.0	126.0	34.0	11.0	1.0	-	113.0	671.0	15.0
Туркмении	49.0	5.0	8.0	12.0	11.0	7.0	3.0	3.0	-	-	8.0	38.0	3.0
Узбекистана	1369.0	111.0	184.0	340.0	362.0	221.0	92.0	43.0	15.0	1.0	207.0	1091.0	70.0
Украины	680.0	34.0	97.0	108.0	121.0	100.0	68.0	80.0	72.0	-	87.0	424.0	169.0
других стран мира	445.0	31.0	44.0	112.0	129.0	77.0	28.0	12.0	12.0	-	47.0	369.0	29.0
Афганистана	41.0	6.0	5.0	11.0	15.0	2.0	1.0	1.0	-	-	11.0	29.0	1.0
Болгарии	8.0	1.0	5.0	1.0	-	1.0	-	-	-	-	4.0	4.0	-
Вьетнама	65.0	11.0	1.0	5.0	40.0	8.0	-	-	-	-	11.0	54.0	-
Германии	47.0	6.0	3.0	11.0	7.0	7.0	5.0	3.0	5.0	-	6.0	31.0	10.0
Греции	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Израиля	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Индии	5.0	1.0	-	2.0	2.0	-	-	-	-	-	1.0	4.0	-
Китая	129.0	1.0	12.0	53.0	33.0	20.0	6.0	3.0	1.0	-	3.0	122.0	4.0
Латвии	13.0	1.0	6.0	2.0	-	2.0	1.0	-	1.0	-	5.0	6.0	2.0
Литвы	22.0	2.0	3.0	3.0	4.0	9.0	-	-	1.0	-	4.0	17.0	1.0
Сирии	3.0	-	-	2.0	1.0	-	-	-	-	-	-	3.0	-
США	3.0	2.0	-	-	-	1.0	-	-	-	-	2.0	1.0	-
Турции	5.0	-	1.0	2.0	1.0	1.0	-	-	-	-	-	5.0	-
Эстонии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
без гражданства	9507.0	1080.0	1993.0	1796.0	1639.0	1486.0	650.0	481.0	381.0	1.0	2350.0	6206.0	950.0
гражданство не указано	475.0	46.0	54.0	68.0	75.0	73.0	60.0	34.0	28.0	37.0	80.0	284.0	74.0
Красноярский край													
Все население	2966042.0	292692.0	504433.0	484681.0	412215.0	508822.0	310356.0	256897.0	193511.0	2435.0	580158.0	1877192.0	506257.0
в том числе:													
граждане России	2914727.0	286118.0	497110.0	473461.0	400107.0	501845.0	307444.0	255334.0	192543.0	765.0	568819.0	1841854.0	503289.0
из них имеющие два гражданства	882.0	71.0	63.0	230.0	229.0	141.0	56.0	65.0	26.0	1.0	111.0	671.0	99.0
иностранные граждане	26566.0	3726.0	3869.0	6463.0	7171.0	3347.0	996.0	585.0	398.0	11.0	6304.0	19133.0	1118.0
из них имеющие гражданство:													
стран СНГ	25739.0	3661.0	3805.0	6284.0	6891.0	3208.0	934.0	563.0	386.0	7.0	6212.0	18442.0	1078.0
Азербайджана	6863.0	1364.0	1127.0	1356.0	2021.0	811.0	145.0	33.0	6.0	-	2218.0	4598.0	47.0
Армении	2814.0	362.0	530.0	602.0	631.0	461.0	145.0	63.0	20.0	-	729.0	1988.0	97.0
Белоруссии	601.0	45.0	57.0	150.0	130.0	89.0	47.0	56.0	27.0	-	83.0	424.0	94.0
Грузии	745.0	100.0	123.0	183.0	197.0	84.0	33.0	15.0	10.0	-	186.0	528.0	31.0
Казахстана	1659.0	179.0	285.0	422.0	263.0	215.0	107.0	95.0	92.0	1.0	340.0	1107.0	211.0
Киргизии	3102.0	503.0	419.0	963.0	850.0	274.0	52.0	20.0	21.0	-	738.0	2317.0	47.0
Молдавии	752.0	92.0	105.0	181.0	242.0	94.0	25.0	6.0	7.0	-	159.0	574.0	19.0
Таджикистана	2040.0	252.0	253.0	735.0	533.0	228.0	31.0	6.0	1.0	1.0	375.0	1655.0	9.0
Туркмении	34.0	4.0	8.0	7.0	9.0	4.0	2.0	-	-	-	8.0	26.0	-
Узбекистана	889.0	97.0	112.0	241.0	207.0	136.0	43.0	27.0	25.0	1.0	155.0	675.0	58.0
Украины	6240.0	663.0	786.0	1444.0	1808.0	812.0	304.0	242.0	177.0	4.0	1221.0	4550.0	465.0
других стран мира	827.0	65.0	64.0	179.0	280.0	139.0	62.0	22.0	12.0	4.0	92.0	691.0	40.0
Болгарии	22.0	1.0	1.0	6.0	11.0	2.0	1.0	-	-	-	2.0	19.0	1.0
Вьетнама	65.0	2.0	2.0	4.0	40.0	16.0	1.0	-	-	-	2.0	63.0	-
Германии	25.0	6.0	1.0	2.0	8.0	6.0	1.0	1.0	-	-	7.0	17.0	1.0
Греции	4.0	-	-	1.0	2.0	-	1.0	-	-	-	-	4.0	-
Израиля	4.0	-	1.0	2.0	1.0	-	-	-	-	-	-	4.0	-
Индии	3.0	-	-	-	3.0	-	-	-	-	-	-	3.0	-
Китая	384.0	14.0	28.0	111.0	134.0	58.0	29.0	4.0	2.0	4.0	18.0	354.0	8.0
Латвии	77.0	13.0	12.0	12.0	17.0	10.0	7.0	4.0	2.0	-	22.0	49.0	6.0
Литвы	53.0	5.0	2.0	3.0	16.0	9.0	8.0	6.0	4.0	-	6.0	36.0	11.0
Сирии	4.0	-	-	3.0	1.0	-	-	-	-	-	-	4.0	-
США	17.0	7.0	1.0	6.0	3.0	-	-	-	-	-	7.0	10.0	-
Турции	2.0	1.0	-	-	-	1.0	-	-	-	-	1.0	1.0	-
Эстонии	9.0	-	2.0	-	-	4.0	3.0	-	-	-	2.0	6.0	1.0
без гражданства	10936.0	1797.0	2021.0	2117.0	2413.0	1372.0	509.0	391.0	310.0	6.0	3136.0	7006.0	788.0
гражданство не указано	13813.0	1051.0	1433.0	2640.0	2524.0	2258.0	1407.0	587.0	260.0	1653.0	1899.0	9199.0	1062.0
Таймырский (Долгано-Ненецкий) автономный округ													
Все население	39786.0	5347.0	7452.0	6685.0	6184.0	7745.0	4209.0	1468.0	641.0	55.0	10267.0	26744.0	2720.0
в том числе:													
граждане России	38146.0	5163.0	7254.0	6332.0	5847.0	7442.0	4055.0	1411.0	624.0	18.0	9955.0	25549.0	2624.0
из них имеющие два гражданства	28.0	4.0	1.0	10.0	7.0	4.0	2.0	-	-	-	4.0	24.0	-
иностранные граждане	606.0	76.0	73.0	146.0	160.0	95.0	39.0	12.0	5.0	-	131.0	453.0	22.0
из них имеющие гражданство:													
стран СНГ	594.0	76.0	72.0	145.0	155.0	92.0	39.0	11.0	4.0	-	130.0	444.0	20.0
Азербайджана	60.0	14.0	4.0	19.0	19.0	3.0	1.0	-	-	-	17.0	43.0	-
Армении	7.0	1.0	-	-	2.0	3.0	1.0	-	-	-	1.0	6.0	-
Белоруссии	26.0	3.0	1.0	4.0	7.0	4.0	5.0	2.0	-	-	4.0	20.0	2.0
Грузии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Казахстана	13.0	2.0	3.0	2.0	4.0	2.0	-	-	-	-	5.0	8.0	-
Киргизии	48.0	8.0	4.0	15.0	16.0	5.0	-	-	-	-	9.0	39.0	-
Молдавии	52.0	10.0	9.0	15.0	9.0	7.0	2.0	-	-	-	17.0	34.0	1.0
Таджикистана	5.0	-	2.0	1.0	-	2.0	-	-	-	-	-	5.0	-
Туркмении	1.0	-	1.0	-	-	-	-	-	-	-	-	1.0	-
Узбекистана	9.0	1.0	-	3.0	3.0	2.0	-	-	-	-	1.0	8.0	-
Украины	372.0	37.0	48.0	86.0	94.0	64.0	30.0	9.0	4.0	-	76.0	279.0	17.0
других стран мира	12.0	-	1.0	1.0	5.0	3.0	-	1.0	1.0	-	1.0	9.0	2.0
Вьетнама	6.0	-	-	-	3.0	3.0	-	-	-	-	-	6.0	-
Латвии	2.0	-	1.0	-	1.0	-	-	-	-	-	1.0	1.0	-
Литвы	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0
без гражданства	150.0	27.0	29.0	33.0	30.0	21.0	4.0	5.0	1.0	-	47.0	96.0	7.0
гражданство не указано	884.0	81.0	96.0	174.0	147.0	187.0	111.0	40.0	11.0	37.0	134.0	646.0	67.0
Эвенкийский автономный округ													
Все население	17697.0	2519.0	3289.0	2707.0	2521.0	3438.0	1857.0	941.0	402.0	23.0	4757.0	11280.0	1637.0
в том числе:													
граждане России	17567.0	2504.0	3273.0	2683.0	2497.0	3408.0	1846.0	935.0	398.0	23.0	4736.0	11182.0	1626.0
из них имеющие два гражданства	3.0	-	-	2.0	1.0	-	-	-	-	-	-	3.0	-
иностранные граждане	95.0	8.0	9.0	18.0	22.0	25.0	6.0	4.0	3.0	-	12.0	76.0	7.0
из них имеющие гражданство:													
стран СНГ	93.0	8.0	9.0	18.0	22.0	24.0	5.0	4.0	3.0	-	12.0	74.0	7.0
Азербайджана	4.0	1.0	-	1.0	2.0	-	-	-	-	-	1.0	3.0	-
Армении	6.0	-	-	1.0	3.0	2.0	-	-	-	-	-	6.0	-
Белоруссии	2.0	-	-	-	1.0	-	1.0	-	-	-	-	2.0	-
Казахстана	18.0	1.0	5.0	1.0	2.0	8.0	-	1.0	-	-	4.0	13.0	1.0
Молдавии	14.0	2.0	-	8.0	1.0	1.0	-	-	2.0	-	2.0	10.0	2.0
Таджикистана	3.0	-	2.0	1.0	-	-	-	-	-	-	-	3.0	-
Украины	46.0	4.0	2.0	6.0	13.0	13.0	4.0	3.0	1.0	-	5.0	37.0	4.0
других стран мира	2.0	-	-	-	-	1.0	1.0	-	-	-	-	2.0	-
Литвы	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Эстонии	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
без гражданства	35.0	7.0	7.0	6.0	2.0	5.0	5.0	2.0	1.0	-	9.0	22.0	4.0
гражданство не указано	-	-	-	-	-	-	-	-	-	-	-	-	-
Иркутская область													
Все население	2581705.0	276153.0	458580.0	422802.0	349039.0	419792.0	264574.0	225146.0	162799.0	2820.0	544519.0	1596988.0	437378.0
в том числе:													
граждане России	2559091.0	274044.0	455391.0	418160.0	344349.0	416698.0	263165.0	224131.0	162065.0	1088.0	540548.0	1582102.0	435353.0
из них имеющие два гражданства	575.0	41.0	63.0	115.0	135.0	112.0	50.0	35.0	23.0	1.0	79.0	426.0	69.0
иностранные граждане	11482.0	1188.0	1638.0	2918.0	2927.0	1593.0	554.0	382.0	276.0	6.0	2093.0	8634.0	749.0
из них имеющие гражданство:													
стран СНГ	9500.0	1100.0	1264.0	2305.0	2417.0	1342.0	470.0	344.0	256.0	2.0	1925.0	6893.0	680.0
Азербайджана	1556.0	315.0	236.0	315.0	481.0	174.0	23.0	10.0	2.0	-	504.0	1040.0	12.0
Армении	1575.0	219.0	289.0	330.0	367.0	243.0	73.0	43.0	11.0	-	437.0	1078.0	60.0
Белоруссии	241.0	11.0	16.0	34.0	41.0	44.0	29.0	42.0	24.0	-	20.0	151.0	70.0
Грузии	379.0	38.0	54.0	82.0	99.0	71.0	24.0	8.0	2.0	1.0	71.0	294.0	13.0
Казахстана	531.0	42.0	86.0	111.0	125.0	70.0	27.0	35.0	35.0	-	95.0	363.0	73.0
Киргизии	1017.0	149.0	142.0	327.0	268.0	101.0	18.0	6.0	6.0	-	223.0	778.0	16.0
Молдавии	298.0	32.0	41.0	72.0	82.0	47.0	14.0	7.0	3.0	-	48.0	238.0	12.0
Таджикистана	1224.0	124.0	127.0	468.0	315.0	150.0	33.0	2.0	4.0	1.0	185.0	1028.0	10.0
Туркмении	31.0	4.0	2.0	11.0	6.0	4.0	2.0	1.0	1.0	-	6.0	22.0	3.0
Узбекистана	872.0	79.0	119.0	229.0	223.0	139.0	61.0	18.0	4.0	-	150.0	690.0	32.0
Украины	1776.0	87.0	152.0	326.0	410.0	299.0	166.0	172.0	164.0	-	186.0	1211.0	379.0
других стран мира	1982.0	88.0	374.0	613.0	510.0	251.0	84.0	38.0	20.0	4.0	168.0	1741.0	69.0
Афганистана	13.0	-	3.0	5.0	4.0	1.0	-	-	-	-	2.0	11.0	-
Болгарии	5.0	-	-	-	1.0	2.0	1.0	-	1.0	-	-	4.0	1.0
Вьетнама	207.0	12.0	29.0	58.0	83.0	25.0	-	-	-	-	16.0	191.0	-
Германии	8.0	1.0	-	4.0	1.0	2.0	-	-	-	-	1.0	7.0	-
Греции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Израиля	15.0	2.0	3.0	1.0	6.0	1.0	2.0	-	-	-	5.0	10.0	-
Индии	21.0	-	1.0	17.0	1.0	1.0	1.0	-	-	-	-	21.0	-
Китая	952.0	17.0	113.0	335.0	263.0	150.0	46.0	17.0	8.0	3.0	38.0	880.0	31.0
Латвии	13.0	-	3.0	-	4.0	1.0	1.0	3.0	-	1.0	3.0	6.0	3.0
Литвы	47.0	5.0	1.0	5.0	7.0	5.0	7.0	11.0	6.0	-	6.0	21.0	20.0
Сирии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
США	30.0	10.0	3.0	6.0	7.0	2.0	2.0	-	-	-	12.0	18.0	-
Турции	16.0	-	-	10.0	3.0	-	3.0	-	-	-	-	16.0	-
Эстонии	9.0	-	4.0	-	-	3.0	1.0	1.0	-	-	4.0	4.0	1.0
без гражданства	3529.0	397.0	658.0	673.0	792.0	538.0	199.0	148.0	120.0	4.0	848.0	2365.0	312.0
гражданство не указано	7603.0	524.0	893.0	1051.0	971.0	963.0	656.0	485.0	338.0	1722.0	1030.0	3887.0	964.0
Усть-Ордынский Бурятский автономный округ													
Сельское население	135327.0	20516.0	28662.0	18094.0	18162.0	21667.0	10454.0	9718.0	8016.0	38.0	40658.0	75272.0	19359.0
в том числе:													
граждане России	135046.0	20479.0	28621.0	18044.0	18112.0	21626.0	10433.0	9705.0	8013.0	13.0	40591.0	75103.0	19339.0
из них имеющие два гражданства	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
иностранные граждане	172.0	25.0	22.0	40.0	35.0	25.0	17.0	6.0	2.0	-	40.0	121.0	11.0
из них имеющие гражданство:													
стран СНГ	163.0	24.0	20.0	39.0	33.0	22.0	17.0	6.0	2.0	-	38.0	114.0	11.0
Азербайджана	10.0	2.0	2.0	2.0	3.0	1.0	-	-	-	-	4.0	6.0	-
Армении	87.0	17.0	12.0	18.0	20.0	11.0	8.0	-	1.0	-	25.0	60.0	2.0
Белоруссии	2.0	-	-	-	-	-	1.0	1.0	-	-	-	1.0	1.0
Грузии	5.0	-	1.0	2.0	2.0	-	-	-	-	-	1.0	4.0	-
Казахстана	5.0	-	1.0	2.0	2.0	-	-	-	-	-	1.0	4.0	-
Киргизии	5.0	1.0	1.0	2.0	-	-	1.0	-	-	-	2.0	2.0	1.0
Молдавии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Таджикистана	17.0	4.0	1.0	7.0	-	3.0	2.0	-	-	-	4.0	12.0	1.0
Узбекистана	11.0	-	-	2.0	2.0	1.0	1.0	5.0	-	-	-	6.0	5.0
Украины	20.0	-	2.0	3.0	4.0	6.0	4.0	-	1.0	-	1.0	18.0	1.0
других стран мира	9.0	1.0	2.0	1.0	2.0	3.0	-	-	-	-	2.0	7.0	-
Китая	6.0	1.0	1.0	1.0	2.0	1.0	-	-	-	-	1.0	5.0	-
Латвии	1.0	-	1.0	-	-	-	-	-	-	-	1.0	-	-
Литвы	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
без гражданства	64.0	6.0	16.0	7.0	14.0	12.0	1.0	7.0	1.0	-	18.0	38.0	8.0
гражданство не указано	45.0	6.0	3.0	3.0	1.0	4.0	3.0	-	-	25.0	9.0	10.0	1.0
Кемеровская область													
Все население	2899142.0	267191.0	464829.0	457332.0	373625.0	504335.0	319810.0	275262.0	236515.0	243.0	529064.0	1798757.0	571078.0
в том числе:													
граждане России	2877634.0	264582.0	461438.0	452469.0	368707.0	501179.0	318603.0	274508.0	236006.0	142.0	524398.0	1783430.0	569664.0
из них имеющие два гражданства	732.0	69.0	68.0	134.0	194.0	125.0	58.0	49.0	35.0	-	112.0	529.0	91.0
иностранные граждане	13949.0	1589.0	2071.0	3389.0	3417.0	2047.0	724.0	417.0	294.0	1.0	2833.0	10319.0	796.0
из них имеющие гражданство:													
стран СНГ	13508.0	1564.0	1981.0	3306.0	3314.0	1962.0	697.0	401.0	282.0	1.0	2794.0	9946.0	767.0
Азербайджана	2342.0	376.0	368.0	503.0	706.0	315.0	55.0	15.0	4.0	-	655.0	1667.0	20.0
Армении	3195.0	419.0	564.0	665.0	679.0	590.0	198.0	63.0	17.0	-	811.0	2293.0	91.0
Белоруссии	212.0	10.0	11.0	21.0	31.0	31.0	26.0	55.0	27.0	-	17.0	110.0	85.0
Грузии	356.0	43.0	38.0	82.0	101.0	55.0	21.0	13.0	3.0	-	71.0	268.0	17.0
Казахстана	1607.0	163.0	305.0	424.0	260.0	199.0	102.0	81.0	73.0	-	309.0	1125.0	173.0
Киргизии	1158.0	154.0	157.0	332.0	301.0	157.0	32.0	16.0	8.0	1.0	235.0	891.0	31.0
Молдавии	110.0	14.0	16.0	32.0	21.0	14.0	8.0	2.0	3.0	-	20.0	83.0	7.0
Таджикистана	2202.0	225.0	250.0	744.0	669.0	239.0	63.0	10.0	2.0	-	365.0	1824.0	13.0
Туркмении	54.0	6.0	6.0	15.0	11.0	7.0	1.0	4.0	4.0	-	9.0	37.0	8.0
Узбекистана	1179.0	86.0	135.0	316.0	329.0	191.0	85.0	24.0	13.0	-	152.0	974.0	53.0
Украины	1093.0	68.0	131.0	172.0	206.0	164.0	106.0	118.0	128.0	-	150.0	674.0	269.0
других стран мира	441.0	25.0	90.0	83.0	103.0	85.0	27.0	16.0	12.0	-	39.0	373.0	29.0
Болгарии	5.0	-	-	1.0	1.0	2.0	1.0	-	-	-	-	5.0	-
Вьетнама	36.0	4.0	1.0	2.0	19.0	10.0	-	-	-	-	5.0	31.0	-
Германии	25.0	2.0	-	9.0	2.0	2.0	4.0	1.0	5.0	-	2.0	17.0	6.0
Греции	3.0	-	-	-	-	2.0	-	-	1.0	-	-	2.0	1.0
Индии	2.0	1.0	-	-	1.0	-	-	-	-	-	1.0	1.0	-
Китая	95.0	1.0	7.0	20.0	23.0	35.0	8.0	1.0	-	-	1.0	93.0	1.0
Латвии	7.0	2.0	1.0	2.0	-	-	-	1.0	1.0	-	3.0	2.0	2.0
Литвы	26.0	1.0	1.0	4.0	8.0	5.0	1.0	5.0	1.0	-	2.0	17.0	7.0
Сирии	1.0	-	1.0	-	-	-	-	-	-	-	1.0	-	-
