11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И  ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работаюшие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Центральный федеральный округ								
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8083.0	8041.0	30.0	-	30.0	-	-	12.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	41230.0	37939.0	3237.0	452.0	2528.0	158.0	99.0	54.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7906.0	7063.0	831.0	242.0	536.0	29.0	24.0	12.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	54045.0	53089.0	911.0	113.0	638.0	112.0	48.0	45.0
операторы, аппаратчики, машинисты установок и машин	54130.0	52817.0	1277.0	139.0	1006.0	89.0	43.0	36.0
неквалифицированные рабочие	38295.0	37813.0	444.0	60.0	207.0	142.0	35.0	38.0
занятые на военной службе	1567.0	1567.0						-
лица, неточно указавшие или не указавшие  занятия 	6915.0	6605.0	272.0	69.0	127.0	48.0	28.0	38.0
Рязанская область								
Все население, занятое в экономике 	486985.0	460833.0	25510.0	7185.0	16137.0	1552.0	636.0	642.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	55752.0	43933.0	11752.0	5899.0	5364.0	311.0	178.0	67.0
специалисты высшего уровня квалификации	68777.0	67143.0	1553.0	142.0	1114.0	242.0	55.0	81.0
специалисты среднего уровня квалификации	62969.0	61440.0	1463.0	165.0	1069.0	193.0	36.0	66.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12831.0	12633.0	188.0	9.0	125.0	47.0	7.0	10.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	60260.0	55457.0	4754.0	434.0	3920.0	255.0	145.0	49.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	9894.0	9446.0	442.0	88.0	314.0	17.0	23.0	6.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	83898.0	81855.0	1939.0	128.0	1611.0	157.0	43.0	104.0
операторы, аппаратчики, машинисты установок и машин	71208.0	68730.0	2399.0	198.0	1932.0	192.0	77.0	79.0
неквалифицированные рабочие	53007.0	52169.0	790.0	74.0	552.0	110.0	54.0	48.0
занятые на военной службе	4824.0	4824.0						-
