4. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Городское и сельское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
18 – 19	13.0	-	-	-	13.0	-	-	-	12.0	4.0	1.0	3.0	8.0	-	-	-
20 – 29	43.0	16.0	10.0	6.0	27.0	-	-	-	36.0	22.0	13.0	9.0	13.0	-	1.0	-
30 – 39	30.0	20.0	10.0	10.0	8.0	-	2.0	-	44.0	25.0	21.0	4.0	9.0	4.0	6.0	-
40 – 49	33.0	20.0	16.0	4.0	9.0	1.0	3.0	-	46.0	31.0	25.0	6.0	5.0	7.0	3.0	-
50 – 59	15.0	10.0	8.0	2.0	3.0	2.0	-	-	27.0	16.0	12.0	4.0	4.0	4.0	3.0	-
60 – 69	4.0	3.0	2.0	1.0	1.0	-	-	-	19.0	5.0	4.0	1.0	1.0	11.0	2.0	-
70 и более	5.0	2.0	1.0	1.0	-	2.0	1.0	-	16.0	1.0	1.0	-	1.0	13.0	1.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ненцы	10701.0	5530.0	4494.0	1036.0	4437.0	442.0	257.0	35.0	13445.0	7059.0	5609.0	1450.0	3937.0	1926.0	484.0	39.0
в том числе в возрасте, лет:																
до 16	1.0	1.0	1.0	-		-	-		1.0	1.0	-	1.0		-	-	
16 – 17	914.0	-	-	-	897.0	-	-	17.0	947.0	44.0	8.0	36.0	887.0	-	-	16.0
18 – 19	668.0	22.0	11.0	11.0	644.0	-	-	2.0	800.0	145.0	69.0	76.0	652.0	1.0	-	2.0
20 – 29	2829.0	1001.0	641.0	360.0	1780.0	6.0	33.0	9.0	3122.0	1676.0	1160.0	516.0	1320.0	52.0	66.0	8.0
30 – 39	2489.0	1737.0	1400.0	337.0	621.0	39.0	90.0	2.0	3141.0	2220.0	1803.0	417.0	525.0	227.0	166.0	3.0
40 – 49	2023.0	1518.0	1315.0	203.0	340.0	74.0	91.0	-	2661.0	1819.0	1560.0	259.0	306.0	367.0	167.0	2.0
50 – 59	881.0	672.0	604.0	68.0	105.0	70.0	34.0	-	1180.0	671.0	573.0	98.0	126.0	324.0	58.0	1.0
60 – 69	521.0	354.0	326.0	28.0	33.0	126.0	7.0	1.0	936.0	336.0	310.0	26.0	74.0	503.0	23.0	-
70 и более	355.0	217.0	190.0	27.0	10.0	126.0	2.0	-	630.0	132.0	114.0	18.0	42.0	450.0	4.0	2.0
возраст не указан	20.0	8.0	6.0	2.0	7.0	1.0	-	4.0	27.0	15.0	12.0	3.0	5.0	2.0	-	5.0
